"
",0
,1
,2
!,3
!!,4
!!!,5
!!!!,6
!!!!!,7
!?,8
!?!,9
!i,10
!the,11
',12
'',13
''the,14
'93,15
'94,16
'and,17
'bout,18
'cause,19
'cos,20
'couse,21
'coz,22
'cross,23
'cuz,24
'd,25
'em,26
'ere,27
'fore,28
'gainst,29
'god',30
'i,31
'let,32
'life',33
'll,34
'm,35
'my,36
'n,37
'n',38
'neath,39
'o,40
'ol,41
'pon,42
're,43
'round,44
's,45
't,46
'the,47
'this,48
'til,49
'till,50
'tis,51
'twas,52
'tween,53
'twixt,54
've,55
'you,56
0,57
00,58
000,59
01,60
02,61
03,62
04,63
05,64
06,65
07,66
08,67
09,68
1,69
10,70
100,71
1000,72
10000,73
101,74
1072,75
1073,76
1074,77
1075,78
1076,79
1077,80
1079,81
1080,82
1082,83
1083,84
1084,85
1085,86
1086,87
1087,88
1088,89
1089,90
1090,91
1091,92
11,93
1112,94
11th,95
12,96
12th,97
13,98
133,99
13th,100
14,101
140,102
146,103
14th,104
15,105
150,106
16,107
17,108
17th,109
18,110
19,111
1945,112
1984,113
1986,114
1991,115
1992,116
1993,117
1994,118
1995,119
1997,120
1998,121
1999,122
19th,123
1st,124
2,125
20,126
200,127
2000,128
2001,129
2002,130
2003,131
2004,132
2005,133
2006,134
2007,135
2008,136
2009,137
2010,138
2011,139
2012,140
20th,141
21,142
21st,143
22,144
23,145
24,146
2437,147
2438,148
2439,149
2447,150
2453,151
2454,152
2455,153
2458,154
2459,155
2460,156
2468,157
2469,158
2470,159
2471,160
2472,161
2474,162
2476,163
2477,164
2478,165
2479,166
2480,167
2482,168
2486,169
2487,170
2488,171
2489,172
2494,173
2495,174
2496,175
2497,176
2499,177
25,178
2503,179
2507,180
2509,181
2527,182
26,183
27,184
28,185
29,186
2nd,187
2x,188
3,189
30,190
300,191
3000,192
31,193
32,194
33,195
34,196
35,197
36,198
37,199
38,200
39,201
3rd,202
3x,203
4,204
40,205
400,206
41,207
42,208
43,209
44,210
45,211
451,212
46,213
47,214
48,215
49,216
4th,217
4x,218
5,219
50,220
500,221
51,222
52,223
53,224
54,225
55,226
56,227
57,228
58,229
59,230
5th,231
5x,232
6,233
60,234
600,235
6000,236
64,237
65,238
66,239
666,240
666!,241
69,242
6th,243
6x,244
7,245
70,246
72,247
7th,248
8,249
80,250
80's,251
800,252
8211,253
8217,254
8230,255
88,256
89,257
8th,258
8x,259
9,260
90,261
90's,262
900,263
911,264
93,265
95,266
99,267
9th,268
?,269
?!,270
??,271
???,272
????,273
?i,274
a,275
a!,276
a',277
a2,278
aa,279
aaaah,280
aaah,281
aah,282
aan,283
aaron,284
ab,285
aback,286
abaddon,287
abadi,288
abandon,289
abandoned,290
abandoning,291
abandonment,292
abandonned,293
abandons,294
abased,295
abasement,296
abashed,297
abate,298
abated,299
abates,300
abating,301
