0,"
"
1,
2,
3,!
4,!!
5,!!!
6,!!!!
7,!!!!!
8,!?
9,!?!
10,!i
11,!the
12,'
13,''
14,''the
15,'93
16,'94
17,'and
18,'bout
19,'cause
20,'cos
21,'couse
22,'coz
23,'cross
24,'cuz
25,'d
26,'em
27,'ere
28,'fore
29,'gainst
30,'god'
31,'i
32,'let
33,'life'
34,'ll
35,'m
36,'my
37,'n
38,'n'
39,'neath
40,'o
41,'ol
42,'pon
43,'re
44,'round
45,'s
46,'t
47,'the
48,'this
49,'til
50,'till
51,'tis
52,'twas
53,'tween
54,'twixt
55,'ve
56,'you
57,0
58,00
59,000
60,01
61,02
62,03
63,04
64,05
65,06
66,07
67,08
68,09
69,1
70,10
71,100
72,1000
73,10000
74,101
75,1072
76,1073
77,1074
78,1075
79,1076
80,1077
81,1079
82,1080
83,1082
84,1083
85,1084
86,1085
87,1086
88,1087
89,1088
90,1089
91,1090
92,1091
93,11
94,1112
95,11th
96,12
97,12th
98,13
99,133
100,13th
101,14
102,140
103,146
104,14th
105,15
106,150
107,16
108,17
109,17th
110,18
111,19
112,1945
113,1984
114,1986
115,1991
116,1992
117,1993
118,1994
119,1995
120,1997
121,1998
122,1999
123,19th
124,1st
125,2
126,20
127,200
128,2000
129,2001
130,2002
131,2003
132,2004
133,2005
134,2006
135,2007
136,2008
137,2009
138,2010
139,2011
140,2012
141,20th
142,21
143,21st
144,22
145,23
146,24
147,2437
148,2438
149,2439
150,2447
151,2453
152,2454
153,2455
154,2458
155,2459
156,2460
157,2468
158,2469
159,2470
160,2471
161,2472
162,2474
163,2476
164,2477
165,2478
166,2479
167,2480
168,2482
169,2486
170,2487
171,2488
172,2489
173,2494
174,2495
175,2496
176,2497
177,2499
178,25
179,2503
180,2507
181,2509
182,2527
183,26
184,27
185,28
186,29
187,2nd
188,2x
189,3
190,30
191,300
192,3000
193,31
194,32
195,33
196,34
197,35
198,36
199,37
200,38
201,39
202,3rd
203,3x
204,4
205,40
206,400
207,41
208,42
209,43
210,44
211,45
212,451
213,46
214,47
215,48
216,49
217,4th
218,4x
219,5
220,50
221,500
222,51
223,52
224,53
225,54
226,55
227,56
228,57
229,58
230,59
231,5th
232,5x
233,6
234,60
235,600
236,6000
237,64
238,65
239,66
240,666
241,666!
242,69
243,6th
244,6x
245,7
246,70
247,72
248,7th
249,8
250,80
251,80's
252,800
253,8211
254,8217
255,8230
256,88
257,89
258,8th
259,8x
260,9
261,90
262,90's
263,900
264,911
265,93
266,95
267,99
268,9th
269,?
270,?!
271,??
272,???
273,????
274,?i
275,a
276,a!
277,a'
278,a2
279,aa
280,aaaah
281,aaah
282,aah
283,aan
284,aaron
285,ab
286,aback
287,abaddon
288,abadi
289,abandon
290,abandoned
291,abandoning
292,abandonment
293,abandonned
294,abandons
295,abased
296,abasement
297,abashed
298,abate
299,abated
